track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Stream count
2ULleM0ihp3dVsEAzOr7vH,Viaje Tropical - Live,Marissa Mur,41,48ZhC5eE3reDVXbmAa62hm,Viaje Tropical (Live),9/27/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.673,0.599,1,-8.72,1,0.0523,0.0418,7.65E-06,0.105,0.522,96.866,215060,"955,006"
4RG27Wgxju2byhrb51krk6,Cambiarás,Altoparlante,42,6W63dUnVJrKXtetMd6e1XV,Cambiarás,12/11/2017,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.842,0.555,9,-8.969,0,0.0542,0.00191,0.0178,0.231,0.45,121.988,243934,"3,050,599"
3h3L1IArPewYKXLgb6YLX1,Helado de Mango,Naïa Valdez,45,5fd7vj3legWUCGUdEhM6S8,Helado de Mango,3/29/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.856,0.566,8,-8.137,0,0.119,0.138,0.000437,0.0341,0.788,98.001,208434,"3,294,827"
1XVG9J4jQRg3Ox7WHM6ztO,Ya No Te Quiero,Luz Pinos,47,0twTGUVpGy1HIwgTJR0tZn,Ya No Te Quiero,7/12/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.845,0.403,2,-10.56,1,0.046,0.324,0.0832,0.214,0.377,134.987,224293,"4,092,814"
1uWgQtByTaFLR5ld2SW3XY,Somos Dos,Pau Sotomayor,42,03CdYrBotxXdTIkDJq5IA7,Somos Dos,9/20/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.725,0.446,5,-9.373,0,0.14,0.842,3.96E-05,0.12,0.856,94.099,217021,"2,925,462"
43CGfpQS2COhomAP9V6Dhf,Wannajuato,Fideo y los del mondo,38,0b3SzKRYVbtzi04Bp7uGFT,Wannajuato,9/26/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.794,0.172,0,-24.89,1,0.123,0.37,0.00782,0.0783,0.713,89.999,180000,"923,638"
748Vnqa1Rpwteiarxartiz,Sonreír,KURT,55,3LHWZe8qOBLft1AQNdiuIk,Sonreír,11/22/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.895,0.407,6,-11.807,1,0.0542,0.286,1.52E-06,0.126,0.677,119.03,211480,"20,735,701"
3rMqitYF1U4IHqEQjWhmJP,Fishaman (feat. Elkin Robinson),Juan Pablo Vega,48,2ufI2W5j7rk3S3eCpjbZpV,Fishaman (feat. Elkin Robinson),2/1/2019,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.746,0.612,11,-6.809,1,0.304,0.424,0,0.0897,0.813,170.119,217828,"3,967,813"
0HdHd5mJlqFqv8PqAGDsEw,Cumbia Sobre el Mar - El Búho Remix,Quantic,48,05SkQ3cqcaIaP4Oo5N9r4i,Tributaries: A Remix Album (El Búho Remixes),11/9/2018,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.651,0.731,3,-6.004,0,0.0368,0.187,0.138,0.0479,0.692,159.919,312915,"14,646,034"
69gBnFLDtc2lub6xL0sfi9,Por Tu Olor,El Kanka,53,6ZCnNpmcsTnDbQ8FcXqVGj,El Arte de Saltar,2/23/2018,Vibra Tropical,37i9dQZF1DX3fXJqxGjuEP,latin,tropical,0.789,0.499,7,-10.111,1,0.0772,0.68,0.00403,0.156,0.786,161.171,221893,"18,082,806"
